Id,Source,DateBegin,DateEnd,Latitude,Longitude,Shortname,Title,City,Zip
9719F2FE40A24A918CCA93B02331F744_REDUCED,lts,2022-05-07T00:00:00,2022-05-07T00:00:00,46.38365,11.257597,33. Internationaler Kalterer See Triathlon,33a edizione Triathlon internazionale Lago di Caldaro,Caldaro sulla Strada del Vino,39052
2804BB4E391C4C1CAAC1ACBC3E9572D3_REDUCED,lts,2022-04-01T00:00:00,2022-04-10T00:00:00,46.5359,11.3297,33. Kulinarische Wochen in Jenesien,33. Settimane culinarie a San Genesio,S.Genesio Atesino,39050
3B74FC59B76842299F1B7C0C6501D501_REDUCED,lts,2016-12-14T00:00:00,2016-12-14T00:00:00,46.3722,11.5417,33. Ski Alpin Europacup der Herren,33esima Coppa Europa Slalom,Nova Ponente,39050
980B5B21ECAD48949E9946172218DB64_REDUCED,lts,2023-05-06T00:00:00,2023-05-06T00:00:00,46.3837,11.2576,34. Internationaler Kalterer See Triathlon,34a edizione Triathlon internazionale Lago di Caldaro,Caldaro sulla Strada del Vino,39052
812E1064372E4E18A3EB2036E0C94C5B_REDUCED,lts,2023-06-10T00:00:00,2023-06-10T00:00:00,46.565116,11.736639,360°-Erlebnis in den Dolomiten: Über die Mastlé-Alm zum Picberg,Esperienza a 360° gradi nelle Dolomiti: dall’Alpe Mastlé al Monte Pic,Selva,39048
B6DEEEDBC34A4C1795C7716E1344B4A9_REDUCED,lts,2023-06-05T00:00:00,2023-06-05T00:00:00,46.565116,11.736639,360°-Erlebnis in den Dolomiten: Über die Mastlé-Alm zum Picberg,Esperienza a 360° gradi nelle Dolomiti: dall’Alpe Mastlé al Monte Pic,Selva,39047
469ECB6B7F04430AAF6169D861E4729B_REDUCED,lts,2023-07-02T00:00:00,2023-07-09T00:00:00,46.6911,11.1874,37. Südtirol Classic Schenna 2023,37a Südtirol Classic Scena 2023,Merano,39012
9E58BFC285DA11D7A2A6006008C7C6AD_REDUCED,lts,2022-04-25T00:00:00,2022-04-25T00:00:00,46.6421,11.3566,38. Sarner Dorflauf,38° Corsa podistica Val Sarentino,Sarentino,39058
023B09FEC4E34CD58F3F9DAE128F1EC9_REDUCED,lts,2022-12-12T00:00:00,2023-05-01T00:00:00,46.5575,11.4017,3D Bogenschießen,3D Tiro con l’arco,Renon,39054
0E603EE89EAB4AEEBC33FEE8DE26E52C_REDUCED,lts,2022-12-30T00:00:00,2023-10-14T00:00:00,46.7666,10.5353,3D Bogenschießen für Groß und Klein,3D Tiro con l'arco per adulti e bambini,Curon Venosta,39027
63F4DF2C16CB4320A4AFE37C295AF15D_REDUCED,lts,2023-08-25T00:00:00,2023-08-29T00:00:00,46.827,10.5194,3-Länder-Enduro-Bike-Race,Enduro-Bike-Race delle 3 Nazioni,Curon Venosta,39027
3B4CF7CD0F25493FB9D32DF1C083AC2A_REDUCED,lts,2022-03-20T00:00:00,2022-03-25T00:00:00,46.705,12.2289,3 Zinnen Schlagermove Parties im Grand Hotel,3 Zinnen Schlagermove Party al Grand Hotel,Dobbiaco,
2806C02B6F964BFBAAEB9B7CDB3F9EA7_REDUCED,lts,2023-03-18T00:00:00,2023-03-25T00:00:00,46.705,12.2289,3 Zinnen Schlagermove Ski&Sun Partyweek,3 Zinnen Schlagermove Party al Grand Hotel,Dobbiaco,39034
02FCFF6E49D3478ABEB5A0B28AFE55F6_REDUCED,lts,2020-07-18T00:00:00,2020-07-31T00:00:00,46.7243,12.2245,40. Gustav Mahler Musikwochen,40° Settimane Musicali Gustav Mahler,Dobbiaco,39034
94396A308CE74A16A77DC7E4833AE18F_REDUCED,lts,2022-04-03T00:00:00,2022-04-03T00:00:00,46.7828,11.229,40 Jahre Jubiläumsausstellung Schafzuchtverein Passeier in St. Martin,,S.Martino in Passiria,
5C4F708C5B5740D6B2A6DB4A5D6919D3_REDUCED,lts,2016-08-14T00:00:00,2016-08-14T00:00:00,46.7245,12.2243,41. Toblacher Nachtlauf,41° Marcia Notturna,Dobbiaco,39034
1FC5A2ECA6A14AF2B259F529D46FE41F_REDUCED,lts,2018-02-03T00:00:00,2018-02-04T00:00:00,46.7359,12.2225,41. Volkslanglauf Toblach-Cortina: 50 km Classic - SKI CLASSICS & 30 km Skating,41°Gran Fondo Dobbiaco - Cortina: 50 km Classic - SKI CLASSICS & 30 km Skating,Dobbiaco,39034
6D2C08F628F3453C87C25FCB2625A10F_REDUCED,lts,2022-04-30T00:00:00,2022-04-30T00:00:00,46.6267,10.7729,43. Festkonzert der Musikkapelle Kortsch,43° concerto della banda musicale di Corzes,Silandro,39028
398AAACC7943414E86A866B5ABB8281A_REDUCED,lts,2023-02-12T00:00:00,2023-02-12T00:00:00,46.4271,11.3372,44. Leiferer Fasching,44° Carnevale di Laives,Laives,39055
459596AF0A394120A05977EB2626654D_REDUCED,lts,2023-08-14T00:00:00,2023-08-14T00:00:00,46.7245,12.2243,46. Toblacher Nachtlauf,46a. Marcia Notturna,Dobbiaco,39034
