id,zip,city,latitude,longitude,street,country_code
2618,39030.0,Lappago,46.917628,11.80426,Lappago 207/A,IT
2619,39012.0,Merano,46.675629,11.15798,Via Karl Wolf 21,IT
2620,39034.0,Dobbiaco,46.732522,12.222569,Via Kurze Wand 14,IT
2621,39052.0,Caldaro s.s.d.v.,46.418832,11.246573,Via Klavenz 4,IT
2622,39052.0,Caldaro al Lago,46.384837,11.258253,S. Giuseppe al Lago 15,IT
2623,39057.0,Monticolo | Appiano,46.421212,11.283774,"Monticolo, 41",IT
2624,39042.0,Bressanone,46.691429,11.648533,via Franz-von-Unterrichter 50,IT
2625,39040.0,Siusi allo Sciliar,46.543,11.5344,S. Vigilio 13,IT
2626,39018.0,Terlano,46.525467,11.25064,Via Niederthor 10,IT
2627,39019.0,Tirolo,46.676021,11.166948,via Monte Benedetto 26,IT
2628,39010.0,Nalles,46.544178,11.207889,Via Vilpiano 14,IT
2629,39030.0,San Vigilio di Marebbe,46.6945,11.9391,"Str. Catarina Lanz, 63",IT
2630,39030.0,Anterselva di Sopra,46.864589,12.109653,"Via Anterselva di Sopra, 10",IT
2631,39011.0,Lana,46.6114,11.1747,Via Feldgatter 25,IT
2632,39023.0,Lasa,46.6158,10.6983,Via Palla 4/b,IT
2633,39013.0,Plan/Moso in Passiria,46.803206,11.116832,Plan Plata 103/A,IT
2634,39025.0,Naturno,46.647705,11.006316,Via Lido 14,IT
2635,39030.0,Sesto,46.6686,12.3992,Via S. Giuseppe 54,IT
2636,39021.0,Coldrano,46.617935,10.818679,Via Val Venosta 59,IT
2637,39021.0,Coldrano,46.617867,10.818789,Via Val Venosta 59,IT
2638,39050.0,San Genesio,46.566738,11.309414,Via Valas 26/C,IT
2639,39022.0,Lagundo,46.6808,11.1203,Via Steinach 27,IT
2640,39033.0,Corvara,46.5503,11.8595,Str. Sorega 15,IT
2641,39043.0,Chiusa,46.6413,11.5735,"Via Gries, 10",IT
2642,39018.0,Vilpiano,46.5672,11.2231,Via Merano 52,IT
2643,39052.0,Caldaro,46.3825,11.258,S. Giuseppe al Lago 18,IT
2644,39012.0,Merano,46.6708,11.2024,Via Val di Nova 29,IT
2645,39020.0,Glorenza,46.6703,10.5469,"Via Parco, 1",IT
2646,39026.0,Prato allo Stelvio,46.6275,10.5881,Via Pineta 37,IT
2647,39021.0,Laces,46.622091,10.865103,Via Nazionale 4,IT
2648,39040.0,Varna,46.7344,11.6469,Via Brennero 60,IT
2649,39024.0,Malles,46.683979,10.550053,"Via Stazione, 51",IT
2650,39040.0,Ora,46.3483,11.3003,"Via Truidn, 1",IT
2651,39100.0,Bolzano,46.5023,11.3131,Via Merano 101,IT
2652,39034.0,Dobbiaco,46.7345,12.1935,Camping 1,IT
2653,39034.0,Dobbiaco,46.734828,12.193976,Camping 1,IT
2654,39020.0,Glorenza,46.67333,10.569839,"Via dei Prati, 5",IT
2655,39055.0,Laives,46.42936,11.343542,Via Kennedy 32,IT
2656,39010.0,Saltusio/S. Martino in Passiria,46.728191,11.202085,Via Passiria 10,IT
2657,39030.0,Rasun-Anterselva,46.7756,12.0378,Gepeiden 13,IT
2658,39026.0,Prato allo Stelvio,46.6175,10.5964,Via delle Spine 12,IT
2659,39036.0,San Cassiano,46.554268,11.97005,Str. Sciaré 11,IT
2660,39031.0,Brunico,46.789277,11.958361,Via Puenland 6,IT
2661,39050.0,Fiè allo Sciliar,46.533117,11.533555,Via Dolomiti 10,IT
2662,39052.0,Caldaro la Lago,46.372317,11.252668,S. Giuseppe al Lago 75,IT
2663,39027.0,San Valentino alla Muta,46.769807,10.532026,via principale 83,IT
2664,39010.0,Tesimo,46.562082,11.177323,Paese 39,IT
2665,39034.0,Dobbiaco,46.7061,12.2178,Lago di Dobbiaco 3,IT
2666,39029.0,Trafoi,46.5439,10.5078,Via Neuwies 2,IT
2667,39040.0,Varna,46.7608,11.6342,Via Lago di Varna 6,IT
2668,39028.0,Silandro,46.626992,10.786578,Via Vogelsang 27a,IT
2669,39011.0,Foiana/Lana,46.5993,11.1457,Via delle Decime 6,IT
2670,39030.0,S. Lorenzo di Sebato,46.781116,11.89863,"Via Borgata, 9",IT
2671,39015.0,San Leonardo in Passiria,46.816968,11.239679,Via Moso 31a,IT
2672,39010.0,Nalles,46.545378,11.202256,"Via Molini, 14",IT
2673,39027.0,San Valentino alla Muta,46.76381,10.531833,Via Chiesa 26,IT
2674,39030.0,Rina di Marebbe,46.694203,11.851155,"Str. Colac, 1",IT
2675,39033.0,COLFOSCO,46.552804,11.856072,Str. Col Pradat 5,IT
2676,39029.0,Solda,46.52959,10.582406,Via Principale 33,IT
2677,39037.0,Maranza,46.819136,11.657896,Via Förchenweg 25,IT
2678,39042.0,Bressanone,46.705511,11.648946,via Vittorio Veneto 52,IT
2679,39012.0,Merano,46.671244,11.166874,Vicolo Passiria 11,IT
2680,39100.0,Bolzano,46.498,11.352591,Via della Posta 16,IT
2681,39012.0,Merano,46.669205,11.157254,Via A. Manzoni 45,IT
2682,39034.0,Dobbiaco,46.723613,12.226976,Via Stazione 5,IT
2683,39100.0,Bolzano,46.496523,11.34602,Via Fiume 4,IT
2684,39012.0,Merano,46.672689,11.159428,Via delle corse 77,IT
2685,39042.0,Bressanone,0.0,0.0,via Terzo di Sotto 10,IT
2686,39100.0,Bolzano,46.46723,11.333955,Via Maso della Pieve 74,IT
2687,39042.0,Bressanone,46.719346,11.649999,via Karel Havlicek 7,IT
2688,39030.0,St. Lorenzen,46.773271,11.920623,Stefansdorf 44/A,IT
2689,39031.0,Brunico,46.802796,11.937547,Rione Peter Anich 12b,IT
2690,39030.0,Falzes,46.81156,11.88654,Via Anselm Sparber 6,IT
2691,39100.0,Bolzano,46.49596,11.350837,"Via Carducci, 15",IT
2692,39031.0,Stegona,46.796493,11.924792,Via Georg Kaneider 1/E,IT
2693,,Dobbiaco,0.0,0.0,"Via Dolomiti, 10",IT
2694,,Dobbiaco,0.0,0.0,"Via Zipfanger, 40",IT
2695,39100.0,Bolzano,46.50183,11.35839,Via Cavour 5,IT
2696,39057.0,S. Michele | Appiano,46.462946,11.261179,via maderneto 34,IT
2697,39030.0,Anterselva di Mezzo,46.861132,12.102061,Via St. Georg 36,IT
2698,39100.0,Bolzano,46.47028,11.3361,Via Maso della Pieve 26,IT
2699,39012.0,Merano,46.63341,11.17735,Via Nazionale 84,IT
2700,39100.0,Bolzano,46.496681,11.353705,Via dell'Isarco 3,IT
2701,39030.0,Braies,46.7128,12.1058,Braies di Dentro 43,IT
2702,39034.0,Dobbiaco,46.724697,12.221103,Via Rienza 1,IT
2703,39034.0,Dobbiaco,46.744272,12.232955,Valle San Silvestro 3,IT
2704,39032.0,Campo Tures,46.917117,11.958598,Via Wiesenhof 10A,IT
2705,39100.0,Bolzano,46.499201,11.353127,Via Argentieri 22,IT
2706,39030.0,Casteldarne,46.799552,11.841519,Via Stazione 4,IT
2707,39012.0,Merano,46.67314,11.15664,Via O. Huber 34,IT
2708,39012.0,Merano,46.671142,11.154785,Corso della Libertà 188,IT
2709,39040.0,Casateia,46.882453,11.416342,Olmedo 5,IT
2710,39012.0,Merano,46.66836,11.156899,Via Leopardi 7,IT
2711,39031.0,Brunico,46.791563,11.929605,Via Josef Ferrari 2,IT
